lineage_minus3	count	percentage
metagenomes	1018785	66.85%
Saccharomycetaceae	140008	9.19%
unclassified sequences	82934	5.44%
Anophelinae	70596	4.63%
Salmoninae	15798	1.04%
Vibrionaceae	13796	0.91%
Eukaryota	13274	0.87%
Sarcocystidae	7656	0.50%
Plasmodium	7653	0.50%
Gasterosteidae	6915	0.45%
Aspergillus	5463	0.36%
Sarbecovirus	5153	0.34%
Enterobacteriaceae	4183	0.27%
Bacillaceae	4001	0.26%
Bacteria	3695	0.24%
Camelineae	3433	0.23%
Oryziinae	2958	0.19%
Hominidae	2806	0.18%
Cionidae	2689	0.18%
Edwardsiidae	2469	0.16%
